year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,5,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1296,277,66.43,4,166.35,0.23,39.98,1,6,13201,4795,409,5761,8,2228
2004,5,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2684,461,70.67,1.32,189.79,12.11,187.11,1,8,20322,3605,36,6773,449,9459
2004,5,CO,Continental Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",31,5,0.72,1,3.28,0,0,0,0,278,86,73,119,0,0
2004,5,DH,Atlantic Coast Airlines,JFK,"New York, NY: John F. Kennedy International",445,96,30.73,3.4,24.62,0,37.25,8,2,7433,1986,471,1728,0,3248
2004,5,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1175,317,51.6,1.93,227.31,0.85,35.31,3,2,13689,3113,57,8289,28,2202
2004,5,EV,Atlantic Southeast Airlines,JFK,"New York, NY: John F. Kennedy International",150,50,14.12,9.03,22.47,0,4.39,4,2,2075,574,664,709,0,128
2004,5,HP,America West Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",341,130,27.4,0.11,88.4,0,14.09,5,2,6390,2092,10,3560,0,728
2004,5,MQ,American Eagle Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",394,94,19.1,3.09,39.72,0,32.09,7,2,4966,787,289,1817,0,2073
2004,5,NW,Northwest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",93,26,12.61,1.68,9.88,0.4,1.43,4,1,1293,575,155,522,16,25
2004,5,OH,Comair Inc.,JFK,"New York, NY: John F. Kennedy International",250,89,23.13,29.24,32.89,0.85,2.9,6,0,5615,1167,2360,1915,50,123
2004,5,RU,ExpressJet Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",30,7,0,0,7,0,0,1,0,241,0,0,241,0,0
2004,5,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",389,52,11.31,2.02,33.64,0,5.04,1,5,3085,1046,538,1131,0,370
2004,6,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1289,268,89.14,12.36,105.96,0.81,59.72,6,5,19345,7639,790,5770,21,5125
2004,6,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2677,451,75.69,21.02,153.01,8.11,193.17,0,3,20024,3221,1994,5570,306,8933
2004,6,CO,Continental Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",30,8,1.08,0,5.68,0,1.25,0,0,371,27,0,227,0,117
2004,6,DH,Atlantic Coast Airlines,JFK,"New York, NY: John F. Kennedy International",445,122,29.36,1.76,25.69,0,65.2,12,0,7721,1468,312,1713,0,4228
2004,6,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1204,321,59.62,6.74,192.09,0,62.55,3,2,12734,2691,249,6859,0,2935
2004,6,EV,Atlantic Southeast Airlines,JFK,"New York, NY: John F. Kennedy International",90,27,6.83,0.6,16.35,0,3.22,1,0,1168,207,18,763,0,180
2004,6,HP,America West Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",360,135,41.81,0,61.82,0.31,31.07,5,4,5225,1726,0,2195,22,1282
2004,6,MQ,American Eagle Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",414,132,30.98,3.39,58.61,1.28,37.73,8,1,7213,1413,266,2744,32,2758
2004,6,NW,Northwest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",111,35,21.74,1.7,10.29,0,1.27,3,1,1650,1066,142,353,0,89
2004,6,OH,Comair Inc.,JFK,"New York, NY: John F. Kennedy International",510,134,45.77,42.26,44.12,0.29,1.56,14,1,8087,3118,2720,2197,5,47
2004,6,RU,ExpressJet Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",48,20,2.54,0,14.54,0.86,2.06,4,0,960,65,0,729,59,107
2004,6,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",386,44,11,0,19.95,0,13.05,5,2,2959,636,0,1013,0,1310
2004,7,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1333,398,108,21.21,170.61,0.44,97.73,14,3,27021,8453,1453,9192,25,7898
2004,7,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2869,691,106.8,20.98,263.95,13.78,285.49,1,10,35223,4969,1419,11787,456,16592
2004,7,CO,Continental Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",26,4,1.89,0,2.11,0,0,0,0,129,33,0,96,0,0
2004,7,DH,Atlantic Coast Airlines,JFK,"New York, NY: John F. Kennedy International",226,56,10.9,1.36,17.64,0.3,25.8,7,1,5022,634,208,1526,9,2645
2004,7,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1246,441,73.09,7.06,267.28,0,93.57,6,1,21042,3170,437,12086,0,5349
2004,7,EV,Atlantic Southeast Airlines,JFK,"New York, NY: John F. Kennedy International",33,12,4.22,1,5.12,0.67,1,1,0,591,132,25,363,20,51
2004,7,HP,America West Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",371,144,33.37,0,90.31,0.91,19.41,7,4,5744,1651,0,3274,25,794
2004,7,MQ,American Eagle Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",433,174,47.63,9.2,68.55,0.63,47.99,15,0,11882,2976,883,4109,29,3885
2004,7,NW,Northwest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",123,39,15.01,5.5,14.59,0,3.9,3,0,1943,723,416,553,0,251
2004,7,OH,Comair Inc.,JFK,"New York, NY: John F. Kennedy International",1197,407,134.01,97.4,169.95,0.33,5.31,33,1,24801,6882,8032,9636,10,241
2004,7,RU,ExpressJet Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",56,24,1.03,0,19.93,0,3.05,2,0,1457,29,0,1325,0,103
2004,7,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",395,79,11.72,0,52.54,0,14.75,1,3,4152,764,0,1731,0,1657
2004,8,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1343,430,135.32,22.33,132.83,1.03,138.5,11,11,33021,10639,2046,8053,55,12228
2004,8,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2900,750,114.09,15.01,254.25,13.33,353.32,19,0,43924,6123,1254,13987,457,22103
2004,8,CO,Continental Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",27,1,0,0,1,0,0,0,0,52,0,0,52,0,0
2004,8,DH,Atlantic Coast Airlines,JFK,"New York, NY: John F. Kennedy International",535,82,12.84,2,19.29,0,47.87,39,0,7128,836,95,1295,0,4902
2004,8,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1249,395,60.5,4.93,231.45,1.33,96.79,14,12,20093,3659,315,9992,64,6063
2004,8,EV,Atlantic Southeast Airlines,JFK,"New York, NY: John F. Kennedy International",11,4,3,0,1,0,0,0,1,93,76,0,17,0,0
2004,8,HP,America West Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",372,126,36.1,0.61,65.08,0.47,23.74,7,5,5819,1739,82,2600,7,1391
2004,8,MQ,American Eagle Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",440,134,36.99,2.59,59.74,1.54,33.14,18,0,8638,2159,209,3235,38,2997
2004,8,NW,Northwest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",123,44,16.87,1.42,24.95,0,0.77,3,1,1984,730,136,1069,0,49
2004,8,OH,Comair Inc.,JFK,"New York, NY: John F. Kennedy International",1209,310,91.55,83,126.61,1.45,7.39,32,9,15944,3620,5796,6149,44,335
2004,8,RU,ExpressJet Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",58,22,1.5,0,19.34,0,1.17,0,1,1254,84,0,1121,0,49
2004,8,UA,United Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",399,73,20.97,0.58,37.74,0,13.71,2,4,4639,1713,21,1605,0,1300
2004,9,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1162,219,71.14,12.98,94.67,4.06,36.15,29,1,11317,4554,945,2842,285,2691
2004,9,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2570,261,50.07,6.42,90.5,8.18,105.83,155,6,11258,2223,544,2991,257,5243
2004,9,CO,Continental Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",26,2,0.82,0,1.18,0,0,0,0,40,18,0,22,0,0
2004,9,DH,Atlantic Coast Airlines,JFK,"New York, NY: John F. Kennedy International",510,77,8.31,0,34.73,0,33.96,15,0,4033,295,0,1713,0,2025
2004,9,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1138,226,60.05,2.61,124.27,2.93,36.14,67,1,10040,3528,101,3926,382,2103
2004,9,EV,Atlantic Southeast Airlines,JFK,"New York, NY: John F. Kennedy International",29,11,7,0,3.1,0,0.9,0,0,420,234,0,111,0,75
2004,9,HP,America West Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",336,91,26.58,0,52.02,0.53,11.87,5,0,3768,1402,0,1789,8,569
2004,9,MQ,American Eagle Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",421,127,51.63,3.47,39.39,0,32.51,12,0,6440,2443,296,1469,0,2232
2004,9,NW,Northwest Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",90,22,10.26,1.12,10.19,0,0.44,0,0,863,442,82,332,0,7
2004,9,OH,Comair Inc.,JFK,"New York, NY: John F. Kennedy International",1170,250,91.3,61.32,93.71,0,3.67,20,2,11632,4341,4110,3027,0,154
2004,9,RU,ExpressJet Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",34,7,1.72,0,5.28,0,0,0,0,156,34,0,122,0,0
